Episodes,Success,Mean Reward,Mean Collision,Epsilon,Mean Value,Mean Loss
4975.000000,0.900000,85.131004,0.100000,0.020000,71.926857,86.568733
4976.000000,0.900000,85.132011,0.100000,0.020000,78.289261,91.329201
4977.000000,0.900000,85.131012,0.100000,0.020000,77.136406,89.063171
4978.000000,0.890000,83.940010,0.110000,0.020000,34.841076,96.769836
4979.000000,0.890000,83.958015,0.110000,0.020000,45.583298,97.781235
4980.000000,0.890000,83.875008,0.110000,0.020000,60.338703,94.523361
4981.000000,0.890000,83.893021,0.110000,0.020000,73.958191,82.068527
4982.000000,0.890000,83.903015,0.110000,0.020000,79.028824,80.610535
4983.000000,0.890000,83.897011,0.110000,0.020000,81.804451,80.030464
4984.000000,0.890000,83.945023,0.110000,0.020000,76.040886,97.721245
4985.000000,0.880000,81.898018,0.120000,0.020000,53.392818,90.139305
4986.000000,0.880000,81.836021,0.120000,0.020000,59.118908,98.615524
4987.000000,0.880000,81.868019,0.120000,0.020000,71.542969,100.027206
4988.000000,0.880000,81.882019,0.120000,0.020000,63.591984,93.969055
4989.000000,0.880000,81.850021,0.120000,0.020000,70.215515,96.219452
4990.000000,0.880000,81.858017,0.120000,0.020000,70.973328,97.406158
4991.000000,0.880000,81.859016,0.120000,0.020000,74.392151,75.411858
4992.000000,0.880000,81.822014,0.120000,0.020000,76.705879,72.254379
4993.000000,0.880000,81.852020,0.120000,0.020000,69.314491,85.313812
4994.000000,0.890000,83.879013,0.110000,0.020000,73.356644,87.295616
4995.000000,0.890000,83.021004,0.110000,0.020000,58.796787,92.342590
4996.000000,0.890000,82.987015,0.110000,0.020000,60.300140,78.732841
4997.000000,0.890000,82.975006,0.110000,0.020000,64.203651,78.785408
4998.000000,0.890000,82.889008,0.110000,0.020000,58.129040,75.384438
4999.000000,0.890000,82.911003,0.110000,0.020000,69.785614,77.365730
5000.000000,0.890000,82.941010,0.110000,0.020000,67.375069,79.970467
5001.000000,0.890000,82.942001,0.110000,0.020000,77.703720,78.702232
5002.000000,0.880000,81.833000,0.120000,0.020000,27.912790,91.200089
5003.000000,0.880000,81.815002,0.120000,0.020000,57.709900,86.923279
5004.000000,0.880000,81.682007,0.120000,0.020000,57.383183,91.633469
5005.000000,0.880000,81.711006,0.120000,0.020000,68.143593,94.377396
5006.000000,0.880000,81.695007,0.120000,0.020000,72.516327,82.883270
5007.000000,0.880000,81.706009,0.120000,0.020000,69.333519,72.852524
5008.000000,0.880000,81.691010,0.120000,0.020000,56.725788,84.827950
5009.000000,0.890000,83.783020,0.110000,0.020000,60.455811,68.726357
5010.000000,0.890000,83.773018,0.110000,0.020000,72.300613,74.294510
5011.000000,0.880000,81.719002,0.120000,0.020000,72.100502,75.013298
5012.000000,0.880000,81.712006,0.120000,0.020000,79.141525,77.907631
5013.000000,0.880000,81.695007,0.120000,0.020000,73.746277,67.346657
5014.000000,0.880000,81.747009,0.120000,0.020000,74.511726,58.862663
5015.000000,0.890000,83.866013,0.110000,0.020000,65.669945,64.656395
5016.000000,0.890000,83.908005,0.110000,0.020000,63.717999,80.532150
5017.000000,0.890000,83.980011,0.110000,0.020000,58.563225,74.133484
5018.000000,0.890000,83.974014,0.110000,0.020000,74.003235,67.625832
5019.000000,0.890000,83.971008,0.110000,0.020000,81.835236,60.369770
5020.000000,0.890000,83.930008,0.110000,0.020000,82.115242,57.352463
5021.000000,0.890000,83.926003,0.110000,0.020000,66.137085,61.244972
5022.000000,0.890000,83.910011,0.110000,0.020000,69.294556,69.172302
5023.000000,0.890000,83.911003,0.110000,0.020000,74.756790,76.057472
5024.000000,0.890000,83.860008,0.110000,0.020000,76.047806,83.965271
5025.000000,0.890000,83.903008,0.110000,0.020000,83.562401,80.758820
5026.000000,0.890000,83.944016,0.110000,0.020000,62.106911,83.628044
5027.000000,0.890000,84.015022,0.110000,0.020000,68.993530,79.435402
5028.000000,0.880000,81.984001,0.120000,0.020000,69.102226,78.654747
5029.000000,0.880000,81.934006,0.120000,0.020000,60.248615,65.546577
5030.000000,0.880000,81.917000,0.120000,0.020000,63.773254,67.344604
5031.000000,0.880000,81.970001,0.120000,0.020000,71.741173,77.627457
5032.000000,0.880000,81.997002,0.120000,0.020000,74.747398,88.019882
5033.000000,0.880000,81.973000,0.120000,0.020000,73.993721,78.958488
5034.000000,0.880000,81.902000,0.120000,0.020000,72.563408,72.967964
5035.000000,0.890000,83.929016,0.110000,0.020000,77.220627,68.530075
5036.000000,0.890000,83.930008,0.110000,0.020000,75.859795,59.497845
5037.000000,0.890000,83.937012,0.110000,0.020000,58.456398,67.021095
5038.000000,0.890000,83.893005,0.110000,0.020000,65.527260,65.708954
5039.000000,0.890000,83.001007,0.110000,0.020000,65.692780,66.325912
5040.000000,0.890000,82.987000,0.110000,0.020000,74.529755,65.518898
5041.000000,0.890000,82.983009,0.110000,0.020000,79.389938,61.325291
5042.000000,0.890000,82.970993,0.110000,0.020000,64.348137,77.579460
5043.000000,0.890000,82.977005,0.110000,0.020000,72.510445,73.038132
5044.000000,0.890000,82.952995,0.110000,0.020000,75.842850,72.306091
5045.000000,0.890000,82.938995,0.110000,0.020000,62.113937,80.271172
5046.000000,0.890000,82.980003,0.110000,0.020000,60.765015,77.758232
5047.000000,0.890000,83.007996,0.110000,0.020000,57.373352,84.532417
5048.000000,0.890000,83.028000,0.110000,0.020000,72.567619,75.583725
5049.000000,0.890000,83.049004,0.110000,0.020000,76.833778,87.259369
