Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
6026.000000,0.790000,60.821011,0.210000,0.160000,0.020000,62.220539,123.620346
6027.000000,0.790000,60.806011,0.210000,0.170000,0.020000,79.940666,127.441719
6028.000000,0.790000,60.858013,0.210000,0.170000,0.020000,52.952801,121.384796
6029.000000,0.790000,60.844009,0.210000,0.170000,0.020000,72.507996,110.252945
6030.000000,0.780000,58.789013,0.220000,0.170000,0.020000,60.619514,118.786171
6031.000000,0.790000,60.834007,0.210000,0.160000,0.020000,56.710579,141.158432
6032.000000,0.790000,60.823009,0.210000,0.160000,0.020000,66.465767,129.993790
6033.000000,0.790000,60.778008,0.210000,0.160000,0.020000,60.500198,147.514450
6034.000000,0.790000,60.785011,0.210000,0.160000,0.020000,61.555683,109.671021
6035.000000,0.780000,58.769012,0.220000,0.150000,0.020000,64.011795,104.232452
6036.000000,0.780000,58.796017,0.220000,0.140000,0.020000,65.648506,94.305931
6037.000000,0.780000,58.820015,0.220000,0.140000,0.020000,77.210503,122.950134
6038.000000,0.780000,58.871010,0.220000,0.140000,0.020000,50.215420,153.398499
6039.000000,0.780000,58.912010,0.220000,0.140000,0.020000,67.304062,92.603485
6040.000000,0.770000,56.887012,0.230000,0.140000,0.020000,58.136757,88.854599
6041.000000,0.770000,56.922012,0.230000,0.150000,0.020000,59.716419,109.257751
6042.000000,0.760000,54.944008,0.240000,0.150000,0.020000,41.759365,137.731689
6043.000000,0.760000,54.957008,0.240000,0.140000,0.020000,56.803783,187.653488
6044.000000,0.760000,54.926010,0.240000,0.140000,0.020000,66.520096,171.396362
6045.000000,0.760000,54.926010,0.240000,0.140000,0.020000,73.153137,153.660675
6046.000000,0.760000,54.896011,0.240000,0.150000,0.020000,78.062950,140.492569
6047.000000,0.760000,54.844009,0.240000,0.160000,0.020000,75.607994,114.844063
6048.000000,0.770000,56.793015,0.230000,0.170000,0.020000,58.216782,105.875763
6049.000000,0.760000,54.790009,0.240000,0.170000,0.020000,67.828583,141.263153
6050.000000,0.760000,54.823009,0.240000,0.170000,0.020000,59.960625,136.738876
6051.000000,0.760000,54.839008,0.240000,0.170000,0.020000,63.630100,142.114670
6052.000000,0.760000,54.940010,0.240000,0.180000,0.020000,59.130005,99.935425
6053.000000,0.770000,56.957012,0.230000,0.190000,0.020000,61.655205,118.204773
6054.000000,0.760000,54.936005,0.240000,0.190000,0.020000,46.088230,111.266975
6055.000000,0.750000,52.926006,0.250000,0.190000,0.020000,32.974888,79.509361
6056.000000,0.740000,50.855003,0.260000,0.190000,0.020000,37.432678,93.374252
6057.000000,0.730000,49.660000,0.260000,0.240000,0.020000,19.997379,105.429077
6058.000000,0.730000,49.653000,0.260000,0.240000,0.020000,46.161007,116.580437
6059.000000,0.730000,49.653000,0.260000,0.230000,0.020000,28.710651,65.928185
6060.000000,0.730000,49.646996,0.260000,0.240000,0.020000,39.655098,84.009453
6061.000000,0.740000,51.637009,0.250000,0.240000,0.020000,46.279255,84.363510
6062.000000,0.730000,49.597000,0.260000,0.250000,0.020000,52.634182,83.532829
6063.000000,0.740000,51.594006,0.250000,0.250000,0.020000,54.149689,126.326180
6064.000000,0.730000,49.657997,0.260000,0.240000,0.020000,70.022316,121.478264
6065.000000,0.730000,49.669998,0.260000,0.230000,0.020000,70.835312,145.876358
6066.000000,0.720000,47.519005,0.270000,0.220000,0.020000,43.775806,110.531181
6067.000000,0.730000,49.507004,0.260000,0.220000,0.020000,47.458778,102.360550
6068.000000,0.720000,47.445999,0.270000,0.220000,0.020000,46.506435,97.417831
6069.000000,0.730000,49.449005,0.260000,0.220000,0.020000,54.943928,94.408768
6070.000000,0.730000,49.467003,0.260000,0.220000,0.020000,63.590519,76.058960
6071.000000,0.740000,51.472008,0.250000,0.220000,0.020000,65.901550,92.809517
6072.000000,0.740000,51.384010,0.250000,0.220000,0.020000,54.251011,126.397675
6073.000000,0.740000,51.373009,0.250000,0.210000,0.020000,55.622704,126.356102
6074.000000,0.740000,51.414009,0.250000,0.210000,0.020000,42.717995,114.436661
6075.000000,0.740000,51.417007,0.250000,0.210000,0.020000,58.657398,127.298645
6076.000000,0.730000,49.357002,0.260000,0.210000,0.020000,34.631535,149.422897
6077.000000,0.730000,49.270000,0.260000,0.210000,0.020000,47.488190,137.062851
6078.000000,0.730000,49.292999,0.260000,0.210000,0.020000,48.909416,110.269585
6079.000000,0.730000,49.293999,0.260000,0.210000,0.020000,61.284500,103.029633
6080.000000,0.740000,51.306000,0.250000,0.210000,0.020000,73.978165,109.011818
6081.000000,0.740000,51.305004,0.250000,0.220000,0.020000,69.929077,107.725006
6082.000000,0.730000,49.257999,0.260000,0.220000,0.020000,68.162796,112.911057
6083.000000,0.730000,49.249001,0.260000,0.210000,0.020000,45.505173,106.734596
6084.000000,0.730000,49.231003,0.260000,0.210000,0.020000,52.360233,70.338951
6085.000000,0.730000,49.240002,0.260000,0.210000,0.020000,63.450916,124.091560
6086.000000,0.740000,51.273998,0.250000,0.210000,0.020000,65.138428,147.526001
6087.000000,0.730000,49.293999,0.260000,0.210000,0.020000,46.081673,153.842316
6088.000000,0.730000,49.252998,0.260000,0.210000,0.020000,50.295601,143.059036
6089.000000,0.730000,49.216995,0.260000,0.210000,0.020000,33.940636,141.372025
6090.000000,0.730000,49.121998,0.260000,0.200000,0.020000,50.451885,151.110962
6091.000000,0.730000,49.087994,0.260000,0.200000,0.020000,65.790031,134.971237
6092.000000,0.730000,49.069996,0.260000,0.200000,0.020000,69.134064,135.328064
6093.000000,0.730000,49.069996,0.260000,0.210000,0.020000,45.576866,150.542465
6094.000000,0.730000,49.071991,0.260000,0.210000,0.020000,40.470005,165.845840
6095.000000,0.730000,49.091991,0.260000,0.200000,0.020000,60.251019,124.351562
6096.000000,0.730000,49.121994,0.260000,0.190000,0.020000,72.099342,116.231613
6097.000000,0.720000,47.080997,0.270000,0.190000,0.020000,61.099331,124.688843
6098.000000,0.720000,47.005997,0.270000,0.190000,0.020000,56.457870,86.450508
6099.000000,0.730000,49.035000,0.260000,0.190000,0.020000,70.252747,137.386856
6100.000000,0.720000,47.964005,0.260000,0.210000,0.020000,42.693886,119.528763
6101.000000,0.710000,45.921009,0.270000,0.210000,0.020000,40.342056,139.049728
6102.000000,0.710000,45.902012,0.270000,0.210000,0.020000,41.094448,150.875549
6103.000000,0.710000,45.959007,0.270000,0.220000,0.020000,60.502380,149.787827
6104.000000,0.710000,45.995010,0.270000,0.220000,0.020000,62.226131,128.140915
6105.000000,0.710000,46.035011,0.270000,0.210000,0.020000,57.749805,136.549988
6106.000000,0.710000,46.047012,0.270000,0.220000,0.020000,56.829666,147.076981
6107.000000,0.710000,46.042011,0.270000,0.220000,0.020000,49.702385,95.242744
6108.000000,0.710000,45.993008,0.270000,0.210000,0.020000,64.497169,107.657501
6109.000000,0.700000,43.934010,0.280000,0.220000,0.020000,71.934517,108.643219
6110.000000,0.700000,43.933006,0.280000,0.230000,0.020000,74.544960,98.625488
6111.000000,0.690000,41.930000,0.290000,0.240000,0.020000,60.497150,92.733192
6112.000000,0.690000,41.866001,0.290000,0.250000,0.020000,46.717247,144.228775
6113.000000,0.690000,41.810001,0.290000,0.250000,0.020000,58.087914,133.674393
6114.000000,0.700000,43.840004,0.280000,0.250000,0.020000,72.469353,150.276978
6115.000000,0.700000,43.808006,0.280000,0.280000,0.020000,47.107510,132.980713
6116.000000,0.700000,43.833008,0.280000,0.280000,0.020000,70.424744,116.711296
6117.000000,0.700000,43.816006,0.280000,0.270000,0.020000,73.943214,110.106201
6118.000000,0.710000,45.781010,0.270000,0.270000,0.020000,74.149376,110.141106
6119.000000,0.700000,43.736008,0.280000,0.290000,0.020000,25.922461,76.830582
6120.000000,0.690000,41.607002,0.290000,0.290000,0.020000,24.806152,94.471024
6121.000000,0.680000,39.608997,0.300000,0.290000,0.020000,31.022642,123.330994
6122.000000,0.680000,39.672997,0.300000,0.290000,0.020000,47.638142,116.625221
6123.000000,0.680000,39.730995,0.300000,0.290000,0.020000,55.724377,102.117737
6124.000000,0.680000,39.718998,0.300000,0.300000,0.020000,41.226665,132.605652
6125.000000,0.680000,39.653996,0.300000,0.310000,0.020000,44.454117,155.494659
6126.000000,0.680000,39.646996,0.300000,0.320000,0.020000,62.510513,127.559425
6127.000000,0.670000,37.640995,0.310000,0.310000,0.020000,49.812366,92.760345
6128.000000,0.670000,37.607994,0.310000,0.310000,0.020000,57.753513,114.205383
6129.000000,0.670000,37.628998,0.310000,0.310000,0.020000,66.333084,145.986206
6130.000000,0.680000,39.689991,0.300000,0.320000,0.020000,60.740627,111.791267
6131.000000,0.680000,39.659992,0.300000,0.320000,0.020000,51.230297,137.793503
6132.000000,0.680000,39.627995,0.300000,0.340000,0.020000,48.372765,97.450516
6133.000000,0.690000,41.665001,0.290000,0.340000,0.020000,65.154961,116.043159
6134.000000,0.690000,41.650002,0.290000,0.340000,0.020000,61.132343,100.068413
6135.000000,0.690000,41.670998,0.290000,0.340000,0.020000,46.813126,96.847153
6136.000000,0.690000,41.648998,0.290000,0.340000,0.020000,61.230614,109.426430
6137.000000,0.690000,41.631996,0.290000,0.350000,0.020000,72.511734,116.335144
6138.000000,0.690000,41.616997,0.290000,0.350000,0.020000,74.433578,90.892296
6139.000000,0.690000,41.630001,0.290000,0.350000,0.020000,64.529617,68.225609
6140.000000,0.700000,43.672001,0.280000,0.350000,0.020000,57.074196,99.650200
6141.000000,0.690000,41.610996,0.290000,0.340000,0.020000,37.134708,126.007446
6142.000000,0.700000,43.483002,0.280000,0.340000,0.020000,44.564968,160.079636
6143.000000,0.700000,43.523003,0.280000,0.340000,0.020000,61.265888,120.246162
6144.000000,0.700000,43.521008,0.280000,0.350000,0.020000,66.808731,119.581726
6145.000000,0.700000,43.513004,0.280000,0.350000,0.020000,75.493172,117.155548
6146.000000,0.700000,43.514004,0.280000,0.340000,0.020000,77.035286,111.124603
6147.000000,0.700000,43.554005,0.280000,0.330000,0.020000,43.707623,139.460587
6148.000000,0.700000,43.543003,0.280000,0.320000,0.020000,59.810085,133.345581
6149.000000,0.710000,45.548008,0.270000,0.320000,0.020000,72.533218,106.188438
6150.000000,0.710000,45.507011,0.270000,0.320000,0.020000,75.389343,136.968277
6151.000000,0.710000,45.460011,0.270000,0.320000,0.020000,46.137531,118.951920
6152.000000,0.720000,47.439999,0.260000,0.320000,0.020000,63.186497,107.594490
6153.000000,0.720000,47.463009,0.260000,0.320000,0.020000,64.120819,134.855560
6154.000000,0.730000,49.512997,0.250000,0.320000,0.020000,59.065048,115.150543
